Coutu, Brandon, Kicker, BUF - Buffalo Bills

Parrish, Roscoe, Wide Reciever, BUF - Buffalo Bills

Brock, Kevin, Tight End, BUF - Buffalo Bills

Martin, David, Tight End, BUF - Buffalo Bills

Thigpen, Tyler, Quarterback, BUF - Buffalo Bills

Hagan, Derek, Wide Reciever, BUF - Buffalo Bills

Caussin, Mike, Tight End, BUF - Buffalo Bills

Choice, Tashard, Running Back, BUF - Buffalo Bills

Rayner, Dave, Kicker, BUF - Buffalo Bills

Jones, Donald, Wide Reciever, BUF - Buffalo Bills

Lindell, Rian, Kicker, BUF - Buffalo Bills

Roosevelt, Naaman, Wide Reciever, BUF - Buffalo Bills

Smith, Lee, Tight End, BUF - Buffalo Bills

Jackson, Fred, Running Back, BUF - Buffalo Bills

White, Johnny, Running Back, BUF - Buffalo Bills

Martin, Ruvell, Wide Reciever, BUF - Buffalo Bills

Chandler, Scott, Tight End, BUF - Buffalo Bills

Smith, Brad, Wide Reciever, BUF - Buffalo Bills

Johnson, Stevie, Wide Reciever, BUF - Buffalo Bills

Nelson, David, Wide Reciever, BUF - Buffalo Bills

McIntyre, Corey, Running Back, BUF - Buffalo Bills

Spiller, C.J., Running Back, BUF - Buffalo Bills

Fitzpatrick, Ryan, Quarterback, BUF - Buffalo Bills

