Ian Kaiserman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category,,,,,Data,,Role,,,Pattern,,,Concern,,,Difficulty,,,Risk,,,Confidence,,,,Related Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element,,Noun,Adjective,Preposition,Verb,Other,Static,Dynamic,Input,Processing,Output,Behavioral,Structural,Creational,Model,View ,Controller,Easy,Moderate,Hard,Low,Moderate,High,Low,Moderate,High,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"aircraft, bomber",x,,,,,x,x,x,,,x,,,,,x,x,,,,x,,x,,,,bomber munitions,radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"aircraft, fighter",x,,,,,x,x,x,,,x,,,,,x,x,,,,x,,,x,,,ground attack,battlespace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,battleship,x,,,,,x,x,x,,,x,,,,,x,,x,,,x,,,x,,,aircraft carriers,command of the sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"bomb, dumb",x,,,,,x,,,,x,,x,,,x,,,,x,,,x,,x,,,ballistic trajectory,contact fuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"bomb, smart",x,,,,,x,,x,,,x,,,,,x,x,,,,,x,,x,,,radio control,laser guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,countermeasure,x,,,,,x,,,x,,x,,,,,x,x,,,,,x,,x,,,infrared,MANPADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,depth charge,x,,,,,x,,,,x,,x,,x,,,,,x,,,x,x,,,,guncotton charge,K-gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"fuze, depth",x,,,,,,,,,,,,,,,,,,,,,,,,,,wind vane,depth bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"fuze, distance",x,,,,,,x,x,,,,x,,,,x,,x,,x,,,x,,,,rifiling pitch,velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"fuze, proximity",x,,,,,,x,x,,,x,,,,,x,x,,,,x,,,,x,,infrared,radio sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"fuze, timed",x,,,,,,x,x,,,x,,,,,x,x,,,,x,,,,x,,clockwork,illuminating shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,main battery gun,x,,,,,,x,,,x,,x,,x,,,,x,,,,x,x,,,,turrets,anti-aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"maneuver, defensive",,,,x,,,x,x,,,x,,,,x,,,x,,,,x,x,,,,turn performance,barrel roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"maneuver, evasive",,,,x,,,,,,,,,,,,,,,,,,,,,,,formation,stalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"maneuver, offensive",,,,x,,,x,x,,,x,,,,x,,,x,,,x,,x,,,,offensive split,first sight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
